Update,Date
Strapi version update:- Roles and permissions section- Optimised expanding/collapsing of components- Improved component dragging/dropping,1/30/2024
Adding a page view event upon page load,2/13/2024
AG to LPV banner,5/16/2024
Content New Tracking,6/21/2024
New table designs,6/21/2024
Image optimization,7/8/2024
AG migration,7/18/2024
LOC 3 pages for Schools guides,8/22/2024
Breadcrumbs,8/22/2024
Out of Sync Articles,9/23/2024
Table of Content,10/16/2024
Re-design of property and floor plan carousels,11/27/2024
Recommended guides for Area and Building guide,1/6/2025
Dubai Transactions widget,3/20/2025
New Projects carousel,6/25/2025
TruBrokers™ carousel,9/11/2025
